id,dataset,text,oracle
1128,OrtuJIRA_test_1,Oops sorry folks. Wrong project.,-1
1129,OrtuJIRA_test_1,"""I am sorry if you think this is nit picking but the logged error still refers to plugins.xml but it should not:  {code} LOG.e(TAG """"ERROR: config.xml is missing.  Add res/xml/plugins.xml to your project."""")""",-1
1130,OrtuJIRA_test_1,Sorry I forgot to mention: This is for the future branch!,-1
1131,OrtuJIRA_test_1,Sorry I missed this since it wasn't tagged iOS. Looking at it now.,-1
1132,OrtuJIRA_test_1,Sorry it took so long to drag this up.  I think the issue I had was with the Customer => BillingInfo and Customer => ShippingInfo relationships.  BillingInfo and ShippingInfo each inherit from Address.  IIRC a runtime relationship was being created for Customer => Address which was messing things up.  I'll have to dig through the SVN history to see what I did with mandatory relationships that I mentioned being problematic in the initial bug submission.,-1
1133,OrtuJIRA_test_1,Sorry for the mess there I was just trying to port CFS and Hive metastore too... but those tests don't work right now so put it on hold getting it to work with CQL3 Column Families is a priority for me right now so will come back to those later.  Just for the Hive handler please look at the (cas-support-simple-hive) branch - https://github.com/milliondreams/hive/tree/cas-support-simple-hive  All the test cases (whatever few they had) pass there and it is working perfectly with Thrift/Compact storage Column Families.,-1
1134,OrtuJIRA_test_1,okay I'm convinced.  Sorry about the wait.  As an apology I have coded up the URL-based version in v3.  (Haven't actually tested it on non-local files though but it compiles. :),-1
1135,OrtuJIRA_test_1,Yes sorry I forgot to mention this :-) But a header where this is stored would work great and probably there should be a config item if you want it or not.,-1
1136,OrtuJIRA_test_1,Hi Josh  I'm sorry I didn't check all the path that could effect the http method url. After went through the code and I found a way to verify my change and find a minor issue of http component.  I will commit a better patch shortly.  Willem,-1
1137,OrtuJIRA_test_1,Dean I am sorry it didn't work out-of-the-box for you.  Yes by all means if you have time later and still have issues then open a new ticket.,-1
1138,OrtuJIRA_test_1,I meant the findbugs addon. Sorry for the confusion.,-1
1139,OrtuJIRA_test_1,Sorry Ivan attach a new patch with --no-prefix.,-1
1140,OrtuJIRA_test_1,Regrettably I do not have a working instance of svn so I can't create a proper patch I have attached the modified source file:  org.apache.tuscany.sca.assembly.builder.impl.CompositeWireBuilderImpl.java  I have commented the place where I modified a single line with:  // FIX FOR JIRA BUG: TUSCANY-1930,-1
1141,OrtuJIRA_test_1,Sorry I'd accidentally deleted the --disable-eventfd from my compilation script.,-1
1142,OrtuJIRA_test_1,Hi Simo sorry for delay. I had a quick check to org.kohsuke.MetaInfServices . It seems to fit all our needs: use the quickest and more standard way to declare plugins in a transparent fashion. I don't have any objection with this patch for me it is ok.  Thanks Mic,-1
1143,OrtuJIRA_test_1,guys... this is so stupid...,-1
1144,OrtuJIRA_test_1,I lost the whole morning cause HBase's RegionServer was dying with no logs no nothing... how Am I supposed to debug the issue if u do not even generate a core dump?,-1
1145,OrtuJIRA_test_1,{quote}You are messing down deep below hbase in dfs.,-1
1146,OrtuJIRA_test_1,And I think if we're going to do a sweep up of shit we should just kill root.,-1
1147,OrtuJIRA_test_1,@idiot Yeah I was on that idiot-path for a good while but commons-lang is a hairball at least where this hashcode making and equals is concerned.,-1
1148,OrtuJIRA_test_1,Pull it back in if you think different.,-1
1149,OrtuJIRA_test_1,i suck.,-1
1150,OrtuJIRA_test_1,Will still be stuck in the loop though if can't actually close regions.,-1
1151,OrtuJIRA_test_1,Original edited patch was messed up... stupid sed!,-1
1152,OrtuJIRA_test_1,Who made this stupid rule?,-1
1153,OrtuJIRA_test_1,Sorry but this is just stupid.,-1
1154,OrtuJIRA_test_1,But I will quit committing to Hama then because I'm not going to support ONLY a binary format.,-1
1155,OrtuJIRA_test_1,This is not what I build a framework for.,-1
1156,OrtuJIRA_test_1,Well damn.,-1
1157,OrtuJIRA_test_1,Blooper after blooper - I hate SVN.,-1
1158,OrtuJIRA_test_1,"This looks reasonable to me... sucks we have to special case handling of "" ""...",-1
1159,OrtuJIRA_test_1,You may want to carefully examine your assumption about this.,-1
1160,OrtuJIRA_test_1,Ok wow welcome to Linux hell...,-1
1161,OrtuJIRA_test_1,If I get a chance I may even roll it into our dev environment but I am currently in the middle of mem leak hell.,-1
1162,OrtuJIRA_test_1,Both equally bad.,-1
1163,OrtuJIRA_test_1,Negative I am against fetch groups in principle.,-1
1164,OrtuJIRA_test_1,This way lies metadata hell.,-1
1165,OrtuJIRA_test_1,"Shit there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes"".",-1
1166,OrtuJIRA_test_1,Damn...,-1
1167,OrtuJIRA_test_1,Damn...,-1
1168,OrtuJIRA_test_1,Damn !,-1
1169,OrtuJIRA_test_1,The evil NPE strik back !!,-1
1170,OrtuJIRA_test_1,Bloody hell !!!,-1
1171,OrtuJIRA_test_1,Damn time has flown...,-1
1172,OrtuJIRA_test_1,Damn it !,-1
1173,OrtuJIRA_test_1,This was a very bad bug introduced by me being an idiot.,-1
1174,OrtuJIRA_test_1,I have stupidly deleted the original test dir but judging from the suite's output files no output was created after 3 1/2 hours.,-1
1175,OrtuJIRA_test_1,damn this was assigned to you since months.,-1
1176,OrtuJIRA_test_1,Imo all this just doesn't make sense from a pure performance aspect.,-1
1177,OrtuJIRA_test_2,+1 thanks. Don't forget to add line to CHANGES.txt when committing,1
1178,OrtuJIRA_test_2,Release Candidate 1 of this patch.  This patch contains: + add IP Address to CrawlDatum Version 5 (as byte[4])  + a IpAddress Resolver (map runnable) tool to lookup the IP's multithreaded + add a property to define if the IpAddress Resolver should be started as a part of the crawlDb update tool to update the parseoutput folder (contains CrawlDatum Status Linked) of a segment before updating the crawlDb. + using cached IP during Generation  Please review this patch and give me any improvement suggestion I think this is a very important issue since it helps to do _real_ whole web crawls and not end up in a honey pot after some fetch iterations. Also if you like please vote for this issue. :-) Thanks.,1
1179,OrtuJIRA_test_2,Patch applied to trunk/ . Thank you!,1
1180,OrtuJIRA_test_2,Hi Luca  I've applied the changes you mentioned and it worked fine on my end (Windows).  Can you try this on your end as well? I've attached the patch.  Thanks!,1
1181,OrtuJIRA_test_2,Yes it can be resolved. Thank You!,1
1182,OrtuJIRA_test_2,The patches look good :),1
1183,OrtuJIRA_test_2,thanks to Jakob Korherr for this patch,1
1184,OrtuJIRA_test_2,Mathias please close this issue as it is not reproducing any more...  Thanks.,1
1185,OrtuJIRA_test_2,Fixed. Thanks for report (even if I'm not sure empty password is a good idea :-) ).,1
1186,OrtuJIRA_test_2,"""Bertrand - nice work. This is a great idea and the patch looks good overall. Couple of points:  - Don't forget the Apache header on the new Errors class - Maybe do the grammar corrections on the counter error messages separately? Just so we keep the commits to a single issue each.  - I'm not sure we need to retain the delegating """"formatValueList"""" method in TestDriver. Something to discuss...   As for using Guava to do the string join - I know MRUnit used to have it as a dependency but this was removed in MRUNIT-50. Probably not worth bringing it back for such a simple method. """,1
1187,OrtuJIRA_test_2,Thanks that looks good now,1
1188,OrtuJIRA_test_2,Hi.  The code above is a copy of the CharsetUtil class just run within a Junit Test case.  There is no exception other than junit.framework.AssertionFailedError.  Are you able to reproduce the error?  Thanks  Richard,1
1189,OrtuJIRA_test_2,This seems good to me. +1 to apply it,1
1190,OrtuJIRA_test_2,Hi Chris  Thanks for your detailed response.  Thanks,1
1191,OrtuJIRA_test_2,I've committed this to trunk branch-2 and branch-2.2.  Yingda thank you for the patch.  Chuan thank you for help with the code review.,1
1192,OrtuJIRA_test_2,$NAME,1
1193,OrtuJIRA_test_2,Thanks Karthik!  I committed this to trunk branch-2 and branch-2.1-beta.,1
1194,OrtuJIRA_test_2,Thanks for taking a look Bikas and Devaraj. Committing this.,1
1195,OrtuJIRA_test_2,Thanks.  I'll look into this.,1
1196,OrtuJIRA_test_2,+1 looks good  Thanks Mayank,1
1197,OrtuJIRA_test_2,+1 looks good. Checking this in.,1
1198,OrtuJIRA_test_2,Attaching updated patches. Arun let me know it this looks good.  Thanks,1
1199,OrtuJIRA_test_2,Thanks Harsh good to know.,1
1200,OrtuJIRA_test_2,Thanks Sandy. Committed to trunk and branch-2.,1
1201,OrtuJIRA_test_2,Looks good.  Minor nit can you change info.wait(0),1
1202,OrtuJIRA_test_2,Committed to branch-2 and trunk. Thanks Ahmed!,1
1203,OrtuJIRA_test_2,Incorporating Konstantin's comment  Thanks Mayank,1
1204,OrtuJIRA_test_2,Thanks for the patch Daryn  +1  I put it into trunk branch-2 and branch-0.23,1
1205,OrtuJIRA_test_2,I just committed this to trunk and branch-2.0. Thanks Xeiguiming!,1
1206,OrtuJIRA_test_2,+1 The patch looks good to me. I will commit this later.,1
1207,OrtuJIRA_test_2,I just committed this. Thanks Vinod!,1
1208,OrtuJIRA_test_2,I just committed this to trunk and branch-0.23. Thanks Arun!,1
1209,OrtuJIRA_test_2,+1 looks good to me.,1
1210,OrtuJIRA_test_2,+1. Just committed this to trunk and branch-0.23. Thanks Jason!,1
1211,OrtuJIRA_test_2,+1 looks good to me. Trying it out.,1
1212,OrtuJIRA_test_2,Thanks for the explanation +1 for the patch.,1
1213,OrtuJIRA_test_2,I just committed this to both trunk and MR-279. Thanks Jeffrey!,1
1214,OrtuJIRA_test_2,addressed review comments.  Thanks Vinod.,1
1215,OrtuJIRA_test_2,+1  looks good,1
1216,OrtuJIRA_test_2,Committed to trunk and branch-22. Thanks Ari!,1
1217,OrtuJIRA_test_2,+1 patch looks good,1
1218,OrtuJIRA_test_2,I just committed this. Thanks Patrick!,1
1219,OrtuJIRA_test_2,+1 The patch looks good to me.,1
1220,OrtuJIRA_test_2,I just committed this. Thank you Scott and Priyo.,1
1221,OrtuJIRA_test_2,Patch looks good to me also.  bq. -1 core tests. TestSpecialCharactersInOutputPath failed with NoClassDefFoundError. I ran the same test on my machine with the patch. It ran successfully.,1
1222,OrtuJIRA_test_2,I just committed this. Thanks Jitendra!,1
1223,OrtuJIRA_test_2,The patch looks good now and the tests are all running fine now. +1.  Let's wait for Hudson..,1
1224,OrtuJIRA_test_2,+1. Looks good to me.,1
1225,OrtuJIRA_test_2,I've just committed this. Thanks Aaron!,1
1226,OrtuJIRA_test_2,+1  I committed this. Thanks Kay Kay!,1
1227,OrtuJIRA_test_2,I just committed this to trunk thanks Owen,1
1228,OrtuJIRA_test_2,+1  I committed this. Thanks Hong!,1
1229,OrtuJIRA_test_2,+1 patch looks good.,1
1230,OrtuJIRA_test_2,"""Patch looks mostly good to me.  One comment: I think the name """"moveAndDeleteLocalFiles"""" isn't quite descriptive enough. Perhaps """"asyncDeletePathOnEachVolume"""" or something? The fact that the path is relative to *all* volumes and will be deleted on each of them is the key part I didn't understand at the first pass through the JIRA.  I agree with Vinod that it would be nice to share code with CleanupQueue but would be fine seeing it in another JIRA.""",1
1231,OrtuJIRA_test_2,+1  I committed this. Thanks Jothi!,1
1232,OrtuJIRA_test_2,I just committed this. Thanks Boris!,1
1233,OrtuJIRA_test_2,thanks tom....let me see if I can come up with a test case for the LineReader reset. I did forget adding a test case for that.  I probably file that as part of this patch.,1
1234,OrtuJIRA_test_2,I just committed this. Thanks Omer!,1
1235,OrtuJIRA_test_2,Thanks for taking this patch looks good. Is this good to be committed?,1
1236,OrtuJIRA_test_2,Hi Nick  Can you please re-create this patch as I can't get the code to compile?  For starters I can't get the class AttributeImplItem to compile.  Please use the latest trunk when doing so  Thanks.  -- George,1
1237,OrtuJIRA_test_2,Hi DIGY  I like to know a bit more about this patch:  1) what test case is it fixing? 2) how did you determine the race condition?  The changes to the ThreadClass is considerable and I'm trying to understand why this wasn't a problem in earlier versions.  Thanks.  -- George,1
1238,OrtuJIRA_test_2,I rather we don't work on older versions.  If this is still an issue in 2.3.1 please submit a new patch for 2.3.1.  Thanks.,1
1239,OrtuJIRA_test_2,"""Patch looks great!  Thanks Artem.  No more mixing in of fuzzy-ness into AnalyzingSuggester.  It looks like we are doing the utf8 conversion + det twice per lookup once in convertAutomaton and once in getFullPrefixPaths.  But I think this is inevitable: the first conversion is on the """"straight"""" automaton for exactFirst match and the second one is on the lev automaton for non-exactFirst.  Really we should only do the first convertAutomaton if exactFirst is true ... but this is an optimization so we don't need to fix it now. """,1
1240,OrtuJIRA_test_2,Committed to trunk and 4x. Thanks Simon!,1
1241,OrtuJIRA_test_2,Thanks for raising these documentation issues! I just committed a fix.,1
1242,OrtuJIRA_test_2,Thanks Scott. git formatted patches are fine in my opinion: lets get this fixed,1
1243,OrtuJIRA_test_2,Committed.  Thanks Chris!,1
1244,OrtuJIRA_test_2,Thanks Dawid!,1
1245,OrtuJIRA_test_2,"""Thanks Dawid.  bq. Yes this is pretty much the top-n nodes reordering that I did albeit without any optimization of how many n to take (the hardcoded magic constants should probably be justified somehow? Or replaced by a default in FST somewhere?).  bq. Deciding how many nodes to reorder is I think hard â I failed to provide any sensible fast heuristic for that and I simply do a simulated annealing to find a local optimum.  Yeah the algo is simplistic now... and it does force caller to pick the params (though minInCountDeref=3 and maxDerefNodes=Inf are probably pretty good)... we can and should make it more sophisticated over time.  We have at least one spare bit to still use in the arc flags :)  bq. One thing I was wondering is why you decided to integrate the packer with the fst â wouldn't it be cleaner to separate packing from construction? Granted this requires a double pass over the fst nodes and more intermediate memory but it wouldn't add any more complexity to the builder which is already ehm a bit complex . You can compare this design in Morfologik:  Well... it's tricky.  First I decided to change node targets to ords so that pack could use an array to (relatively!) efficiently hold node data eg inCount newAddress etc.  That required making the first pass FST """"modal"""" (deref'd or not).  If we didn't do this then the packer would have to use even less RAM efficient data structures (eg Map<IntX>) I think?  Second the format written by the packer is tightly coupled with the FST reading ie there are sizable differences when reading packed vs unpacked FST.  But I agree it'd be cleaner if we could move packing out (eg Util.pack) and more strongly decouple packing from FST format...  One thing I'd really like to somehow do is create different classes for FST writing vs reading and different classes for each format.  We now have write-ord write-non-ord read-packed read-unpacked (and even the two readers have 3 different modes depending on INPUT_TYPE).  """,1
1246,OrtuJIRA_test_2,bq. Opened LUCENE-3595.  thanks! I committed this to trunk and backported to 3.x   nice iterations..,1
1247,OrtuJIRA_test_2,I think its a good idea to go ahead and put a patch together so we can discuss it directly.,1
1248,OrtuJIRA_test_2,+1 patch looks good.,1
1249,OrtuJIRA_test_2,"""{quote} I don't really know much about NamedSPILoader but I think what you're suggesting. How would we support Factories loading unrelated classes like they can through ResourceLoader now? Assume they're on the classpath and use Class.forName? {quote}  It needs more discussion (and input from Uwe would help!) but it works like Charset.forName(""""ASCII"""") etc. We use this already for codecs and postingsformats (Codec.forName Codec.listAllCodecs ...).  Have a look at lucene/core/src/resources/META-INF/services for the idea. Basically you """"register"""" your classes in your jar file this way: additional jar files (e.g. look at lucene/test-framework/src/resources/META-INF) can load more classes.  So this could support some idea like TokenizerFactory.forName(""""Whitespace"""") or something simple like that. So someone would not need to use org.apache.solr.analysis.xxx namespace to be able to load their analyzer stuff easily they use whatever package they want and register in their META_INF. And added jar files (other analysis jars) are automatically available this way.  I think Uwe mentioned this idea before though I think he had Analyzers in mind (e.g. provide language code and get back analyzer or something). Anyway thats for another issue :)  Just something worth consideration if we want to make these modules really pluggable. On the other hand we shouldn't use anything overkill if its not the right fit... """,1
1250,OrtuJIRA_test_2,Good catch!  Thanks for the thorough explanation and suggestions.  I think it all makes sense.  Will work on a patch.,1
1251,OrtuJIRA_test_2,Looks like a good solution!  Thanks for taking care of this Uwe!  {quote} Should we backport this to 2.9 and 3.0 (which is easy)? {quote}  +1,1
1252,OrtuJIRA_test_2,bq. If you back-port this to 2.9 you can't use any of the java.util.concurrent.* Very good point! - didn't thought about back porting at all.   bq. I'm not sure you need a separate SearcherHolder class - can't you re-use IndexReader's decRef/incRef? I guess I did not see the simplicity the reader offers - blind due to  java.util.concurrent.* :)  bq. I think there are some thread safety issues..  this is weird - on my dev machine and in the patch it is not synchronized.. on the machine I run the tests it is. Anyway you are right.   I changed the code to be compatible with 2.9 using indexReaders.dec/incRef.. will attache in a minute,1
1253,OrtuJIRA_test_2,Looks good.  bq. I didn't add Version to StopFilter nor StopAnalyzer,1
1254,OrtuJIRA_test_2,Simon thanks please commit this :),1
1255,OrtuJIRA_test_2,Thanks Steve!,1
1256,OrtuJIRA_test_2,Committed revision 728746.  Thanks Shai!,1
1257,OrtuJIRA_test_2,Thanks patch applied.,1
1258,OrtuJIRA_test_2,Thanks I've committed your patch leaving out the change to equals() and not  removing mergeBooleanQueries() as that is a public method which someone might  be using. Also could you please check if the test case is correct now? I  couldn't apply that part of your patch cleanly and something might have been  broken.,1
1259,OrtuJIRA_test_2,Thanks! :-),1
1260,OrtuJIRA_test_2,Could you see my 2nd patch? :)  Thank you.,1
1261,OrtuJIRA_test_2,Red color isn't really important it was just a suggestion to be more homogeneous ... but that can be revisited in a different jira. I agree an option is a good idea for automatically acknowledging hosts.  Not sure what the default should be: the current behavior is obviously to not confirm so we could keep that one or go for a safer one I don't have any strong opinion on that.,1
1262,OrtuJIRA_test_2,Thanks for fixing it!,1
1263,OrtuJIRA_test_2,thanks for the patch Michael Van Geertruy :),1
1264,OrtuJIRA_test_2,Thanks for the reviews guys!,1
1265,OrtuJIRA_test_2,Thanks for the patch. Committed to 0.8.,1
1266,OrtuJIRA_test_2,Thanks very much for your response.   I want to thank your team for the great job they've done building a superior open-source solution. Not only do I use but I also promote it everywhere I go. I just did a hands-on lab using JSPWiki to create 'qwiki' WEB apps for 40 people at DEVCON 2007. It got excellent reviews.  I promote this as an Enterprise Open-source solution. If a company wanted to purchase a support contract or services for a production implementation of the product who should they contact?  Thanks again  Jim Mason   https://issues.apache.org/jira/browse/JSPWIKI-24?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ---------------------------------------------------------------------------------------------------------------   __________________________________________________ Do You Yahoo!? Tired of spam?  Yahoo! Mail has the best spam protection around  http://mail.yahoo.com,1
1267,OrtuJIRA_test_2,Great (it turned out simpler than what I would have thought). Thanks Andy.,1
1268,OrtuJIRA_test_2,Re: patch looks fine. I'd include <optional> too on geronimo/ant deps as per project.xml,1
1269,OrtuJIRA_test_2,The fknames patch looks good!,1
1270,OrtuJIRA_test_2,"""1. My feeling is that """"if (file.lastModified() < now + ACCESS_TIME_RESOLUTION)"""" is not necessary since the lastModified value will already be truncated to the system resolution but I do not think it is harmful.  2. I chose to throw exception only if file.canWrite because I was trying to minimise the impact of the change. It's not clear to me whether setLastModified might work when !file.canWrite. However it certainly must work (because of GC) if file.canWrite. I would consider moving the canWrite test outside of the setLastModified call similar to getRecordIfStored it just wasn't necessary to fix the immediate problem.  3. Well not swallowed exactly but caught and converted to failure return code (-1) e.g. see BLOBInDataStore.getSize. In any case the javadoc for Property.getLength/getLengths documents -1 as a possible """"failure"""" return code so it had to be tested. I think if Property.getLength/getLengths throws an exception that is already correctly handled.  Thanks for the quick response.  """,1
1271,OrtuJIRA_test_2,"""> I've reading the specification and can't find any reference to transient session in Node.lock(). Do you mean that Node.lock() don't modify transient session because it performs a Node.save() internally (there is no need to call save)?  whether an implementation internally calls save() is an implementation detail. """"there's no need to call save"""" means that there are no transient modifications which need to be saved by the client.  > My english is a little bad an sometimes perhaps I don't use the correct words and can't express my ideas in the rigth way.  no problem most committers and a lot of people on the list are non-native english speaking  """,1
1272,OrtuJIRA_test_2,Thanks for your patch and your investigations! I reopen the issue will apply the patch soon.,1
1273,OrtuJIRA_test_2,Tnx for the quick fix. Works perfect!,1
1274,OrtuJIRA_test_2,Patch applied thank you.,1
1275,OrtuJIRA_test_2,Hi Chris could you add my username as initial developers for the Spark JIRA? Thanks.,1
1276,OrtuJIRA_test_2,Much obliged! Thank you! :),1
1277,OrtuJIRA_test_2,Hi Pieter  it looks fine now,1
1278,OrtuJIRA_test_2,Thanks Joe!,1
1279,OrtuJIRA_test_2,Thanks Daniel. We will get back on this as soon as we have the correct information. Thank you.,1
1280,OrtuJIRA_test_2,Thanks did that. Hopefully it syncs now. Cheers --Kurt,1
1281,OrtuJIRA_test_2,Hey thanks for that I gave it some testing and thought about it over the weekend and it looks perfect thanks!  - Aidan,1
1282,OrtuJIRA_test_2,Thanks!,1
1283,OrtuJIRA_test_2,Oh well. Many thanks anyways  Oleg,1
1284,OrtuJIRA_test_2,Thanks!,1
1285,OrtuJIRA_test_2,Great idea.,1
1286,OrtuJIRA_test_2,Oleg  A minor comment.. I don't see why the close() method would throw an IOException..  thanks asankha,1
1287,OrtuJIRA_test_2,You are right. I missed that point. I am +1  Oleg,1
1288,OrtuJIRA_test_2,That fixes my testcase.  Thank you!,1
1289,OrtuJIRA_test_2,Looks fine to me.   Oleg,1
1290,OrtuJIRA_test_2,Committed patch 2a to trunk with revision 784701.,0
1291,OrtuJIRA_test_2,Reopening the issue to merge the changes into 10.3 codeline,0
1292,OrtuJIRA_test_2,Committed revision 1125305.,0
1293,OrtuJIRA_test_2,Committed revision 568039.,0
1294,OrtuJIRA_test_2,"""Reattaching with """"grant license...""""""",0
1295,OrtuJIRA_test_2,It should be noted that the client driver already caches the LOB lengths (for both Clobs and Blobs). I planning to go ahead with the patch for StoreStreamClob in the embedded driver.,0
1296,OrtuJIRA_test_2,I haven't spent enough time thinking about this but I think it is more than just fixing the error message string. It seems that the comparable method in DTD should return int rather than boolean and the return int value will decide if we should throw what we are throwing today (ie something like ERROR 42818: Comparisons between 'VARCHAR' and 'CHAR' are not supported. ) or throw a new message because collations don't match. This is just my initial thought haven't spend enough time to think about a solution,0
1297,OrtuJIRA_test_2,I found the reason why we observe different behaviors with the network server: Since you run with the default security manager you actually get derby.system.home set as a system property as a side effect (see line ca line 586 in NetworkServerControl.java) as part of the set-up of the security manager. I ran without the security manager so I did not get it set.   I do think though that the old behavior was buggy: I can't see why one should need to set derby.system.home explicitly to get the auto-boot behavior. Unless someone can explain why this should be so I'll file a bug for that.,0
1298,OrtuJIRA_test_2,Please find the attached screenshot for reference,0
1299,OrtuJIRA_test_2,Committed 3a with revision 506899.,0
1300,OrtuJIRA_test_2,Attaching the doc updates for the Tuning Guide. Please review and comment if these updates are ready to be committed.,0
1301,OrtuJIRA_test_2,Committed to trunk with revision 429550.,0
1302,OrtuJIRA_test_2,I propose to commit drop_column_v8_restored_tests.diff. If there are any reviewers currently examining this patch please let me know. Unless any additional review comments are raised in the next 48 hours I will commit the patch.,0
1303,OrtuJIRA_test_2,Committed to trunk with revision 467578. Committed to 10.2 with revision 467580.,0
1304,OrtuJIRA_test_2,description of the changes made in this patch,0
1305,OrtuJIRA_test_2,Committed derby-716-10-datatypesCollation-aa.diff at subversion revision 585710.,0
1306,OrtuJIRA_test_2,Kathey I think you should just go ahead and port the fix to 10.1.  Merge command:    svn merge -r 289538:289539 https://svn.apache.org/repos/asf/db/derby/code/trunk  I have started working on a general check-that-resources-are-freed test for DERBY-23 DERBY-210 and DERBY-557 but while doing that I ran into another resource leak (DERBY-594) that I wanted to resolve first.,0
1307,OrtuJIRA_test_2,Any thought of porting this patch to 10.1? I just ran derbyall on the 10.1 branch and this came up.,0
1308,OrtuJIRA_test_2,AfterDeploymentValidation#addDeploymentProblem failed. since we have DELTASPIKE-262 we should just enable it again for v0.4.,0
1309,OrtuJIRA_test_2,1) Yea we'll need Java 6 for the future stuff. Wasn't sure what the project's posture on that is. 2) Not a problem... documentation is key.  However I don't think this patch should be accepted as-is :-) There is a LOT of duplicate code in my patch. I did this because I didn't want to mess with the QueryRunner code if everyone thought my idea was stupid. However there are a number of methods in the AsyncQueryRunner are improved from the QueryRunner (see DBUTILS-79).  I propose that we create a base or abstract class which both QueryRunner and AsyncQueryRunner extend. Thoughts?,0
1310,OrtuJIRA_test_2,Created an attachment (id=13383) Patch to apsupport.m4 to support AMD64,0
1311,OrtuJIRA_test_2,Created a new issue and copied the patch there:  https://issues.apache.org/jira/browse/DAEMON-93,0
1312,OrtuJIRA_test_2,As soon as I made the change in Karaf I will submit the CXF patch.,0
1313,OrtuJIRA_test_2,Added patch generated from CXF 2.2.6,0
1314,OrtuJIRA_test_2,when we have @RequestWrapper/@ResponseWrapper annotion the generated WSDL contains duplicate schemas.  See test: JaxwsServiceBuilderTest.testDocLit(),0
1315,OrtuJIRA_test_2,Noah said heâs going to fix this in his build-fauxton branch but Iâd like to explain this for posterity.  make indeed throws this error I didnât suggest it is a grunt.js error but itâs the way we use Autotools. In particular in how we use Autotools for packaging. Each file that is supposed to end up in our final apache-couchdb-x.y.z.tar.gz tarball needs to be marked as such in a Makefile.am. For Fauxton that means we maintain a list of Fauxton files in src/Makefila.am specified as `FAUXTON_FILES`:  FAUXTON_FILES = \     fauxton/app/addons/activetasks/assets/less/activetasks.less \     fauxton/app/addons/activetasks/base.js \     fauxton/app/addons/activetasks/resources.js \     â¦and so on  In that list there is a line: `fauxton/app/initialize.js` e.g. where we say that file is supposed to go into the release tarball. That file however does not exist at the time `make dist` is run so make complains. I assume the solution is that make needs to call grunt at some point to turn fauxton/app/initialize.underscore into fauxton/app/initialize.js and I think that is what Noah is doing in his branch. I just wanted to explain why this isnât a make error.,0
1316,OrtuJIRA_test_2,Dang just realized this might be hard.  Each individual node can't really predict when/where conflicts will happen. So how would it avoid compacting away the shared parent?,0
1317,OrtuJIRA_test_2,That's what reminded me of ubjson actually. I looked at UBF and it looks rather complicated for a data exchange. I wouldn't say no but I don't have any interest in supporting it.  ubjson shouldn't be anything more than writing a parser (which should be ~trivial) and then adding the logic to switch (de)serializers based on content and accept types. I have no idea what UBF really even is under the hood but it sounded a lot more complicated.,0
1318,OrtuJIRA_test_2,Duplicate of COUCHDB-1415,0
1319,OrtuJIRA_test_2,@Paul. Can we close this?,0
1320,OrtuJIRA_test_2,Corrects problems with continuous replication timeouts introduced by r916518 and r916868.,0
1321,OrtuJIRA_test_2,By default the auth prompt is suppressed making this a rare issue closing.,0
1322,OrtuJIRA_test_2,Changing resolution to WFM,0
1323,OrtuJIRA_test_2,There have been changes to the method updateCurrentIterator() between these versions that we need so we can't just reverse the change. I'd love to fix any bug that can be identified cleanly. For now though I'm placing this in NEEDINFO awaiting a test case.,0
1324,OrtuJIRA_test_2,"""Why not just make it the default behavior?  Would an error be a violation of the base64 spec?  I have a hard time imagining a scenario where I'd say """"I'm glad the parsing library ignored that erroneous data and didn't tell me"""".""",0
1325,OrtuJIRA_test_2,Yes that's it.  Since it fixes the problem I'll commit the fix.,0
1326,OrtuJIRA_test_2,Created an attachment (id=12544) mimeInput.eml for this test case,0
1327,OrtuJIRA_test_2,Would you post saxon error message?,0
1328,OrtuJIRA_test_2,Created an attachment (id=16279) Patch to add percentage-dimensions and jpep quality handling (against Trunk),0
1329,OrtuJIRA_test_2,Well since you didn't respond to my request I finally did without and checked out what you did.   First of all looking at CIncludeTransformer I have to say that I don't understand why it is doing its own caching. Caching should be the concern of pipelines and sources. If you want preemptive loading of cached content this would much better be implemented as a Source wrapper. In fact we now have such a class in the scratchpad area.  One unpleasant implication of the current design is that as an unsuspecting user of this class when you turn on caching in this transformer the cached contents of any included cocoon:// source that identifies a caching pipeline would be cached twice! Once by the pipeline itself and once by the CIncludeTransformer.  Now concerning your patch. I don't quite understand why you retain the validity of the cached contents. The algorithm the caching pipeline uses to determine the validity of the cached contents is as follows: first it looks at the validity of the cached pipeline contents itself then if the validity by itself indicates it needs a current validity to check against then the pipeline contructs a pipeline validity by calling the participating components' getValidity() methods. If your component now returns the same validity object that you previously returned then  that does not make much sense to me.  Since I really needed this functionality myself and I didn't have enough time to discuss and refactor the CIncludeTransformer I implemented my own very basic IncludeTransformer that does exactly what I need no more no less. I'll post it here if anyone want to use it.  I also looked at the XIncludeTransformer to see if I could implement caching in that one instead. But it seems that the XIncludeTransformer reads included content from URL objects instead of from Source objects.,0
1330,OrtuJIRA_test_2,Created an attachment (id=9504) relevant portion of stack dump,0
1331,OrtuJIRA_test_2,Created an attachment (id=8392) patch,0
1332,OrtuJIRA_test_2,Created an attachment (id=6729) modified SQLTransformer (in full),0
1333,OrtuJIRA_test_2,Not commited in cvs.,0
