ID,Polarity,Text
550,0,Closing as a duplicate of ROL-1642.
551,0,A patch file is attached here to address these problems. Many files have been touched. Sorry for it. But I'm sure there are more files than these that have i18n problems. I'd like to dig more into it as soon as these critical ones are resolved.
552,0,I must have clicked the wrong link.  I didn't mean to mark this resolved.
553,0,newPost now sets publishEntry to true.
554,-1,sorry should be: path -p6 < pluto-1.1.0-taglib-el.diff
555,-1,Sorry I missed Bill's comment.  bq. We've seen similar exceptions when loading data that contains text with the column delimiter in it which produces shorter than expected tuples. Could that be the case here?  I don't think that's the case here.  However I've made many silly mistakes&misunderstandings in pig before.  Let me double check.
556,-1,I'm afraid one can't extract the text from the given pdfs. Both are using fonts with a non human readable encoding and as there isn't included any mapping you'll get rubbish instead of the text. Even the acrobat reader can't extract the text.
557,-1,Hi  Here is the missing file. I'm sorry for the delay.  Regards Eric
558,-1,"""Ok I just downloaded trunk and the patch is 99% the same with mine so I'll close the issue now...One comment though and sorry for nitpicking...Shouldn't the second constructor simply be """"this(patterns null)"""
559,-1,"""Sorry Alvaro  lot of things need to be done at the same time.  But I am still not 100% clear what you want me to do / change.  I put installation/wiki links on top-right now: http://incubator.apache.org/openmeetings/index.html  What about the links to the Tutorials you want to put those in the section """"Installation and Upgrade"""" right?  Sebastian"""
560,-1,Sorry I put a comment here which was for another issue (tired as said already)
561,-1,Sorry again I tried with the same revision same language same theme and I use also FF4 and I still don't reproduce (see screenshot-1)  It would be interesting ot have other persons tests
562,-1,Sorry to hack your issue Bilgin my intention is to keep readable traces (in ML you can't read easily stack)
563,-1,Sorry for the late reply. Your corrections look good I've just applied them. Thanks!
564,-1,"""Unfortunately we can't do that because that is not explicit on the spec javadoc and there is a way to do what is expected using """"targets"""" property."""
565,-1,Sorry I was not able to create one diff-file so I added for every build.xml an own diff.
566,-1,Sorry I use JDK 1.4.2_06 and not 1.4.1 :)
567,-1,Phil  I must have missed this email. I am sorry. I will get this done and the other changes to support the UpdatingMultipleLinearRegression class.  I updated my source and noticed the changes were missing. I did my detective work and noticed this.  Mea Culpa!!  -Greg
568,-1,Sorry looks like we took to long to get to this the patch no longer applies.  Can you please upmerge to latest?
569,-1,Sorry to come in late. Some clarifications: # MR1 JT kills all running tasks on a TT when it's deemed 'lost'. # It also kills all completed maps on that TT for 'active' jobs. # The tasks are marked KILLED rather than FAILED and thus don't count towards the job which is correct since it wasn't the job's fault.  Hope this helps.
570,-1,bq. I'm gonna hold off on LUCENE-2771 until we figure this one out... because it would make your getSequentialSubReaders in the synced=true case quite heavy (without modifications).  Sorry I was wrong on this... I totally forgot the norms cache is lazy-loaded always in that patch. I'll commit LUCENE-2771 it shouldnt affect this!
571,-1,Strange things going on. With Google Chrome uploading patch files corrupts the file. With MSIE it worked. Sorry for the noise. Yesterday it worked normally...
572,-1,bq. Here's a patch for the general case and it also adds a warning that you should set your similarity with Similarity.setDefault especially if you omit norms.   Is there no way to remove this stupid static default and deprecate Similarity.(g|s)etDefault()? Can we not use the Similarity from IndexWriter for the case of NormsWriter?
573,-1,"""Working: - Bash on Linux  Not Working: - Bash on Solaris - CSH on Solaris - KSH on AIX - Bash on AIX  So you're right. I close this bug as """"work as designed"""".  Sorry for the noise :)"""
574,-1,Sorry for the late review. Have a few minor questions/comments.  60. What happens if have 2 instances of Consumers with the same clientid in the same jvm? Does one of them fail because it fails to register metrics? Ditto for Producers.  61. ConsumerTopicStats: What if a topic is named AllTopics? We use to handle this by adding a - in topic specific stats.  62. ZookeeperConsumerConnector: Do we need to validate groupid?  63. ClientId: Does the clientid length need to be different from topic length?  64. AbstractFetcherThread: When building a fetch request do we need to pass in brokerInfo as part of the client id? BrokerInfo contains the source broker info and the fetch requests are always made to the source broker.
575,-1,Here is a stronger/generalized version of this patch. Due to a lack to time on my part this has not been compiled or tested (sorry). Please test if you can David/Joachim.
576,-1,sorry for the delay
577,-1,Hi  I just made some more (long running) tests and found some problems in the patch I submitted. The mechanism is working but it shrinks the caches too quickly and it prints too much log output (log.info instead of log.debug). I will fix those problems and submit a new patch. Sorry.  Thomas
578,-1,Oh sorry will submit them tomorrow. Hmm svn diff is really strange. Don't know why the files were not included though I did the diff from the src/java/o/a/c/jci dir.
579,-1,<pctony> Herbert sorry we cannot do this.  The scope of the blemlist AIUI is at the SVN repo level - and we run a single repo for all the ASF projects.  However buildbot works at the per-project level. Short of perhaps re-writing all of our buildbot mechanisms from the SVN master this is not do-able. Sorry.
580,-1,Sorry forgot that dev lists were merged before JMeter was made TLP
581,-1,You are missing my point sorry   By 'check in normally' I mean just commit them using 'svn add ...' 'svn commit ..' not 'svn import' you cant do that.  people.apache.org was down for a while but is now back that however is not related as you dont need to access people.apache.org to commit to svn.
582,-1,Sorry I was wrong about needing to fix Gump - that just needs the build.xml patch to remove the copy of the files in lib.
583,-1,Sorry my bad. Let me upload what I have.
584,-1,Carl - Sorry I missed that though I did see it on the logs 2x the other being this one. Fixed in this patch.
585,-1,Running tests on this. Will commit once it is done. Sorry this one fell off my radar...
586,-1,Sorry for trouble. I didn't realize that port and context path is configured via pax web & cxf bundle configuration in Servicemix
587,-1,Hi Lars. Sorry I wasn't watching this before so I missed your work til you mentioned it on the HBase JIRA. I'll try to take a look at this this week. Feel free to grab me on IRC if you have specific questions.
588,-1,Patch is not well formed cancel patch.  Sorry about this.
589,1,+1  Jihoon Thank you for your contribution.  Sergio Thank you for your review.
590,1,+1  Looks good to me.  Thanks Hyunsik!
591,1,+1  This is a very desired feature for me. Ship it!
592,1,Thanks for your review.  I've just committed.
593,1,Many thanks ... looks good
594,1,Thanks Lukas for pointing these issues out. Will review your fixes and do the necessary changes. The JMS transport fix should go to Axis2 Transports project.
595,1,Thanks for valuable idea.   I haven't yet decided  the API for this. Once I decide  I will publish it here . I would consider your valuable suggestion when designing API.    Thanks  Indika
596,1,Sumeet we did it purposely because if the proxy services are dynamically loaded then we need to build those services at the runtime and redeploy them which is a little bit risky on a production environment. Also there is no mechanism to check whether a particular proxy definition is updated in the registry or not because this configuration is used only at the startup.  We can add this functionality to load the proxy services only at the startup time from the registry (this doesn't mean they are dynamic) but I don't see any value there. If you could explain a bit about your exact requirement I might be able to provide an alternative to this.  Thanks Ruwan
597,1,Thank Henri and Don!  I found there are two common-validator.jar in my jboss application server env. One in %JBOSS_HOME%/server/default/lib/ and the other in the lib directory of my web application. Then I delete the latter and it works well.   Thank you so much!
598,1,Carl Lindberg absolutely you are right. I was not far-sighted enough to think  of that. Thank you about your point.^^ My one is not a good idea. I will try to fix it. (T.T). Thanks again.
599,1,As Olivier does all the great work here I assigned the issue to him. Thank you!
600,1,Thanks Jarcec!
601,1,The patch is in: https://git-wip-us.apache.org/repos/asf?p=sqoop.git
602,1,Committed to sqoop2. Thanks Jarcec!
603,1,Thanks Jarcec - that clarifies.
604,1,Committed to trunk. Thanks Jarcec!
605,1,Patch is in.  Thanks Jarcec.
606,1,Patch committed. Thanks Jarek!
607,1,Thanks  Klaus!
608,1,Thanks Uwe!
609,1,bq. Here the patch for the groovy script.  cool looks good thanks!
610,1,Thanks for the commit!
611,1,Thanks Martijn!
612,1,Thanks Otis.
613,1,Committed revision 741710.  Thanks Patrick!
614,1,fixed in trunk... thanks Henri!
615,1,added in rev 546223.  Thanks Will!
616,1,Guillaume Thanks for your commit. It fix this problem and my example works fine now with this fix.
617,1,Guillaume  I took a quick look at your suggestions.  I agree that we can reduce the code a bit.  However I think that we need to keep the activate method as it initializes the servingXml internals.   I'm not sure about the deactivate method.  I also noticed that you have added a patch but being new to jira I'm not sure if that means that you've made changes to my attachment or something else.  Are you still looking for me to correct the formatting and to remove the extraneous methods/classes?  Thanks James
618,1,Thanks. Moved
619,1,Great thanks for fixing the OSGi import. I'll create a new issue for the failing trunk build with more info... https://issues.apache.org/jira/browse/SLING-2770
620,1,Looks good. Thanks for your work on this!
621,1,Hi Ian  this looks brilliant to me! So fat +1 from me.
622,1,Hi [~justinedelson] thanks for applying the patch and fixing the formatting.
623,1,Looks good thanks!
624,1,Awesome - thanks so much for the submission Scott!
625,1,patch applied.  thanks!
626,1,Code looks good to me patch's been committed thanks!  Awesome to now be able both the 0.8 and 0.9 messaging API through the same interface this is going to save us a lot of headaches :)
627,1,Looks good to me. Works for me  too. :-)
628,1,Bruno you mentioned in a gtalk conversation that you had a patch for this but I can't find it here in JIRA.. could you attach it please? thanks!
629,1,Looks good to me.  Colm.
630,1,Thanks for the patch!  http://svn.apache.org/viewvc?view=revision&revision=1361531
631,1,This was a temporary connectivity issue.  You can close this bug.  Thank you.
632,1,Applied the patch. Thanks Dennis!
633,0,Patch applied in revision 1055819.
634,0,Applied the patch : At revision: 1051526
635,0,Lets fix this post rampart-1.3
636,0,Released in Qpid 0.24 http://qpid.apache.org/releases/qpid-0.24/index.html
637,0,Reviewed by Rob.  Approve for 0.20.
638,0,Changes look reasonable to me.
639,0,Hi Robbie would you mind reviewing this commit?
640,1,Thanks for catching this I have fixed it.
641,0,This change was only applied to the 0.5.x-dev branch. It needs to be merged to trunk.
642,1,Looks good to me.
643,0,This is a duplicate of QPID-2488
644,1,Hi Aidan can you review this change please thanks.
645,0,Updating 'Fix For'  to Unknown on issues not targeted for 0.8
646,1,Hi Aidan can you take care of this when you do QPID-1010. Thanks
647,1,Hey Aidan can you cast your eye over this again. Thanks.
648,1,the code has been checked in. Thanks to Gordon for that.
649,0,All existing documentation/discussion from Moin Moin wiki now copied across to Confluence JIRA and re-formatted as appropriate.  Should now all be updating on Confluence wiki and retire Moin Moin in a couple of weeks when people have been able to check that their pages look ok on Confluence.
650,1,Hi Rustam Finally I will not commit the IMAP-351 patch so it will be good that you attach your patch here. Thx Eric
651,0,Fixed in 1.4 release branch in r605105.   Leaving open until fix (with other pending changes) is ported back to trunk.
652,0,missed encoding for non-array request parameters.  It doesn't look like I can remove previously attached files.  Whoever is reviewing the code  should use the latest patch.
653,1,Wow fast. Thanks!
654,1,Committed to trunk. Thank you Lorand!
655,1,committed to trunk. Thanks [~elserj]!
656,1,[~bikassaha] Thanks for the heads-up Bikas! This JIRA is not concerned with the Tez integration for Pig and is simply the abstraction in Pig to allow for alternate ExecutionEngines in Pig. But will certainly change this on the Tez integration side of stuff.  Thanks a lot [~cheolsoo] for continuing this! I think everything looks good from my end. I can certainly see why we may want to keep this on a different branch until everything is finalized. Certain things may still need more work. For example OutputStats is not completed abstracted out as it still has references to POStore which is a MR implementation construct. ScriptState/PPNL/JobStats may still need more abstraction (especially PPNL) and reworking to incorporate a new ExecutionEngine abstraction. I think what we have done here is the minimum foundation for an abstraction though and it would be appropriate to put into trunk but these are not my decisions to make.   With regard to public methods that were changed I don't think most of them are a big deal besides as Cheolsoo said the PigServer throwing PigException. I never thought IOException was a good exception to throw but I think reverting PigServer back to IOException as it is userfacing code is not a big deal. The rest of the method signature changes shouldn't be worrisome because most of them are internal to the project.   However the change from JobStats to MRJobStats while necessary (as each ExecutionEngine would have it's own type of JobStats it would present to the end user) could be problematic because it is userfacing code and would probably break people who were previously using JobStats. That I think is the most important thing to keep in mind. The task of making the PPNL and JobStats clearly tied to the ExecutionEngine should be thought through also.
657,1,Committed to trunk. Thanks Mathias!
658,1,Thanks for volunteering for this Prashanth!
659,1,Committed to 0.11.1 branch and trunk. Thanks a ton Kai!
660,1,Committed to trunk. Thanks Johnny!
661,1,Patch committed to trunk and 0.11 branch.  Zhijie thanks for the patch!
662,1,Thanks Jon. +1. Patch looks good.   Minor nitpick I have is that it would be nice to give the test a more relevant name than testAutomaticallyMadeName. Something like testRelationAliasForBinCond. But I am not going to insist.
663,1,Committed to trunk. Thanks for the review Alan!
664,0,"""changing the name of JIRA from """"multithreaded"""" to """"parallel"""" as we've done it with forks instead of threads."""
665,0,Yes I missed this basic case. Thanks for pointing out. I will cancel this patch.
666,1,Committed to trunk. Thanks Jeff!
667,0,Hi Alan I was merely commenting on the title of the JIRA not the UDF name.
668,0,Yes actually I take out the hbase part when I commit.
669,1,+1.  Looks good to me.
670,0,Review board comment: https://reviews.apache.org/r/314/
671,0,Attached patch should apply cleanly to the current trunk. Please review.
672,1,Patch committed to trunk. Thanks Niraj.
673,1,bq. Though pig itself compiled fine and is ready to go the contrib projects (owlzebrapiggybank/hiverc) didnt compile I think because either it didn't download dependices of those projects or didn't include them in the build path.  Ashutosh yes. I did realize it and as you rightly guessed it is because the ivy-dependency list doesn't have some jars that are actually being used by contrib packages. This is not an issue related to eclipse-classpath. However there has to be a JIRA opened to solve this issue of downloading the missing jars by ivy.   Can you please file a JIRA for this? Thanks
674,1,"""Hi Gianmarco Thanks for your concern. Actually we need one additional step to make bin/pig work. We shall copy $PIG_HOME/build/pig-0.8.0-dev.jar to $PIG_HOME/pig-0.8.0-core.jar. This will be handled in ant's """"package"""" target when releasing. But if you check out from svn we will do this additional step to work with bin/pig."""
675,1,Patch is committed to the trunk. Thanks Niraj.
676,0,Just back from vacation. Have updated the code with required changes. It should be good to go now. Pradeep can you or any other committer review it ?
677,0,Patch was commited on May 13 2009.
678,0,Hudson does not work well patch has been manually tested.
679,1,Patch looks good. One minor comment PlanHelper.LoadStoreFinder may better be PlanHelper.LoadStoreNativeFinder.
680,1,patch committed. Thanks pradeep!
681,1,Thanks Pi.  I do not think there is any special tricks besides those with Linux (such as you will need ant junit java svn etc).  If you want you can also send me your pig.jar and then I will try it out for you.  Best regards Xu   org.apache.pig.impl.logicalLayer.parser.QueryParser.Expr(QueryParser.java:373>> )
682,1,Fix checked in at revision 648768.  Thanks Xu.
683,0,In MapReducePlanCompiler.java   {code} if (PigContext.instantiateFuncFromSpec(materializedResult.outFileSpec.getFuncSpec())          instanceof ReversibleLoadStoreFunc) {     POMapreduce pom = new POMapreduce(logicalKey.getScope()                                       nodeIdGenerator.getNextNodeId(logicalKey.getScope())                                       execEngine.getPhysicalOpTable()                                       logicalKey                                       pigContext)
684,0,Antonio could you just create a patch file that I can apply.
685,0,Totally agree. I don't see any good reason why Pig should require 1.6 at this stage. Don't make it harder for the users (and developers under OSX - that includes me) than it already is.
686,1,>Tilman Hausherr   hello finally it  works! I just downloaded the revision 1535956 and bulded it with Ant. and added the new *.jar to my project's build path. it printed very well.  thank you very much.
687,0,"""I've revised DateConverter to conform to java 6:      changed isAlphabetic to isDigit (and reversed the ?: values)      use SimpleDateFormat(""""Z"""") as Tilman suggested.  Also fixed some Javadoc in both DateConverter and TestDateUtil"""
688,0,change default assembly behaviour in preflight
689,1,Hello Andreas  Thank you for the information.  Shall try the same and upload the patch shortly.  Thanks & Regards Ravikiran Mane.
690,0,A PDF which demonstrates the problem
691,1,After applying Mathias patch the sample documents works fine.  Thanks Mathias.
692,0,Direct link to mail item didn't work.
693,0,Will be taken care of next releases
694,0,released with OWB-1.1.4
695,0,"""If you run the train command you get an error in the model serializer I suggest to train on the ppa data set serialize the model and then load it again to ensure there are no runtime errors in this code path. Its also easier to debug in an IDE if it fails in a junit test.  That is the exception I get:  Caused by: java.lang.NullPointerException"
696,0,Committed revision 1475954.
697,0,"""Hi Eduardo  I have tried with your settings for the timezone. I was not able to reproduce it. The meeting was correctly displayed in the calendar the meeting times in the iCal invitations where send fine I tried also with """"simple email"""". The invitation hash also worked fine and had the correct time validity."""
698,1,Johannes --   Thanks for the complete testcase! Sorry about taking so long to fix this one.   Thanks Rick
699,1,Hi Michael thank you for your answer. I thought that it would not be so easy to solve this issue. Unfortunately.  I agree with you that the main problem here is that a copy action is missing and I guess AttachStrategy.persist is the right place to add some kind of copy functionality.  I started looking into the source code of the enhanced class from the test. PersistenceCapable declares a public method to copy fields (pcCopyFields(...)). Unfortunately you can't use in AttachStrategy.persist because the entity to persist has no statemanager at this point (an exception InvalidStateException will be the result).  My suggestion is to modify the class enhancement and remove the StateManager check in pcCopyFields (I don't see the need for this check).  Afterwards you can use pcCopyFields in AttachStrategy.persist by adding something like      ...         if (manager.getCopyNew()) {             int[] fields = new int[meta.getFields().length]
700,1,Thanks for the patch Janko. I put the changes into 1.3.x and 2.0.0.
701,0,"""Added the following to getRollbackOnly():  if (status == Status.STATUS_NO_TRANSACTION) {     throw new IllegalStateException(""""There is no transaction in progess."""")"""
702,1,committed to branch-4.0 and trunk. Thanks Rohini.
703,0,Closing issue
704,0,Didn't modify any testcases because its just some minor typo fixes.
705,1,Thanks Robert. Committed to trunk.
706,0,Closing issue
707,0,I had almost the same interface for the command-line option in mind but sticking to the previous formats for specifying the id:  ./wmgr-client --url http://localhost:9001 --operation --getWorkflowInstMet --id <workflowInstId>  And in return display the values in the format as you suggested above.
708,1,Hi Antonio  I can take this one if nobody is working on it.  Would be a nice one to get my feet wet... :)  Thx Sam
709,0,Hi Suresh  I think this task is also related to AMBER-63 since both OAuth 2 and Open Id Connect use JSON Web Token (JWT).
710,1,Thanks Jacques :)
711,1,Hi Tri  Those files looks good. I cursorily checked only.CommonUiLabels.xml.patch but from their sides I guess the others are good as well. But done from the OFBiz roo directory it's the main OFBiz directory where you fine the LICENSE and APACHE2_HEADER files. Anyway not a big deal I will try to apply them as is and will let you know  You don't have to remove the old files as you can see they are now grayed and it's good that you checked the grant license box.  Thanks
712,0,https://cwiki.apache.org/confluence/display/OFBADMIN/OFBiz+Contributors+Best+Practices#OFBizContributorsBestPractices-HowtoSendinYourContributions%28orhowtocreateandapplypatches%29
713,1,Fixed rev 1190423. Thanks Jose!
714,1,Hi Leon thanks i'll take a look. Anyway i thought of refactoring this parsing mechanism we can do better :-).   Cheers Sascha
715,1,Thank you Jacques for the quick commite !!  Pierre
716,1,Thanks Ren̩  Your patch is in trunk at r1061167 R10.04 at r1061173 R9.04 at r1061174
717,1,Thanks Ankit  Your patch is in trunk at r1060220 I did not backport as it's not breaking anything
718,1,Thanks Erwan for you're effort :-)
719,1,Hi Sascha  There is an overlap with OFBIZ-3843 could you please check?  Thanks
720,0,Hi Erwan  If you don't mind I have re-assigned to you as you assigned yourself the umbrella task
721,1,Done at 946323 and 946322 Thanks Blas !
722,0,Done at revs 946320 and 946321   thanks Blas
723,1,Hi Jacques hi Ankit ... i think i found the reason why we can't call layer recursivly ... i made a patch but i can't sync my trunk today (i'm at our friends house and they have only internet via gps connection ... it's so slow :-D). I will provide the patch on monday morning.  Have a good Weekend Sascha
724,1,Thanks Amit & Vivek - Committed at r907620.  -- Ashish
725,1,Thanks Mirdul committed in trunk r903428 and 9.04 r903429
726,1,Thank you Ashish Vijaywargiya and Pranay Pandey :)   Thanks and Regards -- Akash Jain
727,1,Great last enhancements thanks guys!
728,1,Ashish This is working fine for me. Please take a look at https://issues.apache.org/jira/browse/OFBIZ-2277
729,1,"""Hi Bilgin  you are right the entitymode.xml can be removed but I when I add it I'm thinking to add a new filed to PosTerminalInternTx  entity to store """"Pos Paid Reason"""" instead of store it in the reasonComment field.  I have already created some enumeration into DemoPosData.xml but it is still not been used. There are still a lot of things that has been not implemented or not working so contribution from other people are welcome. Removing the hardcoded value pos-1 into WebPosEvents.java at line 77 is something still to be done. I'm thinking to add a combo box after logged in to choose the posTerminalId but I didn't get the time to do it.  Thanks  Marco"""
730,1,Thanks Bruno and Bilgin  You patches are in trunk revision: 691953   Great to see good cooperation at work :)
731,1,Jacopo  Thank you for your work! I'll test it today and let you know what I find.
732,1,Thanks Alok Agnihotri for your valuable patch. Special thanks to Rishi SolankiPranay PandeyBrajesh Patel and others in helping Alok.  Changes are in rev # 607341.  -- Ashish Vijaywargiya
733,1,Sorry Jacques I have not seen that it was a grouped bugs.  In this case I have used to set in the grouped bugs the sum of the components used by detailed issues.  I didn't like unknow components.  Otherwise we can add a new fictitious component - GROUPED ISSUES - and assign this component to this type of issue.   Thanks  Marco
734,0,Yes I have been watching OFBIZ-1453 with interest.  I approve of the issue and implementation and didn't have anything to add so I haven't been involved.  The thing I have been thinking about is that there's some assumptions to be made here for pricing and the type of question.  I.e. multiselect questions should display the absolute price.  I'm also trying to work over some other scenarios.  I'll clean up what I have an submit a patch tomorrow.
735,1,Marco BTW I have only helped Santosh Malviya for OFBIZ-1468 where ever he needs and reviewed his work. After that Its only his effort to convert java to minilang + testing the patch. So majority of credit goes to Santosh Malviya :)
736,0,"""I have added          <property file=""""framework/base/config/cache.properties""""/>         <echo message=""""NOTICE: deleting ${cache.file.store}.db""""/>         <delete file=""""${cache.file.store}.db"""" verbose=""""true""""/>  to the clean task of my local main build.xml.  After some more testing/discussion perhaps I will post it as a patch. """
737,0,This patch solved this issue in a test case.
738,0,About EPL licenceplease have a look at http://people.apache.org/~rubys/3party.html#category-b. Seems fine with some light constraints
739,0,"""Can't remember how to put the state of this issue to """"In progress"""" not a big deal anyway..."""
740,1,Ray Jacoo  I finally commited it in revision: 485087.  Thanks
741,1,Thanks Scott  I have committed your last work in svn with rev. 7876
742,1,Works fine with my minimal test case and the tutorial. Thank you!
743,1,Hi Daisy  could you please dispatch this review to one of your team? Mingfei did not respond on that and I would like to be certain we got all provided patches with us for 0.7.  Thanks in advance Svante
744,1,Applied. Thanks!
745,1,The patch looks good just applied on the 1.1 branch and trunk. Thanks a lot keep them coming! :)
746,0,Could you make sure that the following path exists on your machine:  C:\Program Files\Apache\Tomcat 6.0\webapps\ode\WEB-INF/jpadb  It sometimes happen that Tomcat for some reason fails to open the WAR which results in an incomplete deployment.
747,0,i don't think that any special filtering should be performed for the access control content such as e.g. rep:policy nodes. but as far as i can see you didn't incorporate this into the patch right?  testing for Tree#exists in the NodeDelegate looks ok to me...
748,1,that's nice! The patch looks good Emanuele :)
749,0,Further optimized caching in KernelNodeStore a bit in revision: 1450145  The test now just runs for a very long time (with -Xmx128m) and didn't run out of memory so far on my machine. Though it is still working on 51200 child nodes after it reported '25600 nodes in 1440293 ms'.
750,0,In revision 1406185 I applied the patch from https://github.com/jukka/jackrabbit-oak/commit/e01558418008e41a94c44ea00494f6a939ed58a2. This fixes the problem.
751,0,[~anchela] which improvements do you have in mind?
752,0,Hi Talat - no this patch is for the branch_2x branch only.
753,1,Committed @revision 1440266 in trunk Thanks Lufeng if and when you get around to the patch for 2.x I can review. The patches for tests are very welcome in Nutch. Thank you.
754,1,Looks good to me Markus. +1
755,1,+1 thanks
756,0,Actually i made a simple test on 2 small linkdb and i didn't see any improvment. You're right. There is no need to add it.
757,0,"""Using nutch with solr has been a very demanding request so it will be very useful when this makes into trunk. I have spend some time reviewing the patch which I find quite elegant.   Some improvements to the patch would be  - make NutchDocument implement VersionedWritable instead of writable and delegate version checking to superclass - refactor getDetails() methods in HitDetailer to Searcher (it is not likely that a class would implement Searcher but not HitDetailer) - use Searcher delete HitDetailer and SearchBean  - Rename XXXBean classes so that they do not include """"bean"""". (I think it is confusing to have bean objects that have non-trivial functionality) - refactor LuceneSearchBean.VERSION to RPCSearchBean - remove unrelated changes from the patch.(the changes in NGramProfile HTMLLanguageParserLanguageIdentifier... correct me if i'm wrong)  As far as i can see we do not need any metadata for Solr backend and only need StoreIndex and Vector options for lucene backend so i think we can simplify NutchDocument#metadata. We may implement :   {code} class FieldMeta { o.a.l.document.Field.Store store"""
758,0,Re: setReaderThread I didn't know we had such a method.  It looks like it was added here: http://cvs.apache.org/viewcvs.cgi/jakarta-commons/net/src/java/org/apache/commons/net/telnet/TelnetClient.java?rev=1.9&view=markup  Other than adding documentation to FTPClient about this it sounds like like there isn't any other action to take on this report???
759,0,I didn't know about a Trinidad regex Validator. I've created it from scratch.  Didn't look for any Validator code on the internet because I wanted to make sure it was JSF 2.0 compliant.
760,0,Duplicate of MYFACES-2970
761,0,HI Ronald  The fix I put in on the 30th caused pages to stop drawing in the RC1.  I have reverted part of the fix for this bug to get 657 resolved. Could you please take a look at the comments for 657 and test out the head of the 1.1.1 branch to make sure that this version works for your case.
762,0,"""sure only """"/"""" works. if path="""""""" that's considered as no path defined."""
763,0,I can confirm this is not happening on Ubuntu 12.04 with OpenJDK 1.6.0_24. Did anyone get a chance to look at this apparently Mac-specific issue?
764,0,Hi I've started working on this. I think I have an idea of what to do design-wise but if anyone has any suggestions please let me know.
765,0,Fixed in subversion repository as of r1328492
766,0,{quote} I don't think it makes sense to argue about who the exception messages are for [...] {quote}  I think the opposite because it has an impact on the library design. Not that CM cannot go on with the current way
767,0,3.1.0-incubating released!
768,0,Attached another refresh
769,0,[~arpitgupta] thanks for helping narrow this down!
770,0,Could you please share how is it impacting ?
771,0,[~acmurthy] did you commit to both branch-1.2 and branch-1?
772,0,I just thought of one more thing we should do.  We should make the StringInterner as @Public and @Stable.  The API is simple enough I don't see much of a problem locking it down.
773,0,Hi Jason! I was thinking one of those parameters was the time the NM should wait before sending the SIGTERM. Alas I was wrong ContainerLaunch.java:337 sends the SIGTERM pretty much instantly. That is messing me up in MAPREDUCE-4135.  I'm still thinking having a small time delay before sending even the SIGTERM should be good. If we can do it on the NM and not on the RM I think we might be able to conserve RM resources.
774,0,Can you please address the findbugs warning. (inconsistent synchronization)  I did a quick look at your patch and I am a bit confused by the implementation of setSignaled.  I realize that you did not really change the code at all but is there a reason that the parameter is ignored?  If you don't know I can look into it myself.
775,0,Actually now that I think of it we never had anything exposed via jmx for the RM? Looks like this is the first bean we are adding. Is that right? I thought some of the work that Thomas did on web services was also exposed via jmx. No?
776,0,Attaching a patch that adds API for accessing the other info (which is not writtent to trace file).
777,0,Nit-corrected patch. Committing.
778,0,I just committed this. Thanks Anupam!
779,0,Uploaded new patch by addressing review comments from Amar.
780,0,+1 lgtm to get rid of the extra logging and to kill the child process.
781,0,addressed the Cos and Balaji comments. Latest patch for yahoo security branch.
782,0,Thanks for the update Tom this is getting close!  Some more comments:  {quote} > src/java/org/apache/hadoop/mapreduce/TaskType.java > -> Public? Stable? It is public. Not sure about whether it is stable yet. {quote} I'd tend to lean towards making it Stable to ensure it's never broken it probably deserves that status given how central it is to the framework. Thoughts? I don't see either 'audience' for this yet it the patch maybe you missed it?  bq. Are MarkableIterator and MarkableIteratorInterface public user classes? The unit test for them (TestValueIterReset) implies that the user instantiates a MarkableIterator. +1 public  bq. I left all of the lib.db classes public evolving since they are used by various extensions and users. Does this sound reasonable? +1  {quote} > src/java/org/apache/hadoop/mapreduce/Job.java > -> public  Yes.  > src/java/org/apache/hadoop/mapreduce/JobCounter.java > -> public  Yes.  > src/java/org/apache/hadoop/mapreduce/JobPriority.java > -> public  Yes. {quote}  Again I don't see 'audience' as 'public' another human miss on your part? Or am I seeing the wrong patch?  ----  Comments on rest of the classes I missed in the first pass:  src/java/org/apache/hadoop/mapreduce/security/token/package-info.java -> Unstable src/java/org/apache/hadoop/mapreduce/security/token/delegation/package-info.java -> Unstable src/java/org/apache/hadoop/mapreduce/TaskTrackerInfo.java -> Public used in Cluster src/java/org/apache/hadoop/mapreduce/util/package-info.java -> Unstable src/java/org/apache/hadoop/mapreduce/TaskCompletionEvent.java -> Public Job.getTaskCompletionEvent src/java/org/apache/hadoop/mapred/JobInProgress.java -> limited-private for schedulers src/java/org/apache/hadoop/mapred/Task.java -> limited-private for schedulers src/java/org/apache/hadoop/mapred/JobEndNotifier.java -> public maybe evolving since end-users use this directly src/java/org/apache/hadoop/mapred/LineRecordReader.java -> limited-private (mr pig) src/java/org/apache/hadoop/mapred/JobProfile.java -> Odd I thought this was 'public' - but I can't find any uses for it. The FairScheduler uses it so 'limited-private' ? src/java/org/apache/hadoop/mapred/TaskCompletionEvent.java -> public accessible via JobClient
783,0,uploading the patch for commit to internal branch it has review comments from sreekanth and cos implemented.
784,0,Looks like your change did not fix the findbugs. But i think you need to suppress the findbugs warning : HRS_REQUEST_PARAMETER_TO_HTTP_HEADER. It is suppressed for jobdetails.jsp in MAPREDUCE-1185.
785,0,Patch that fixes this problem and adds a test case demonstrating it.
786,0,Ported to trunk
787,0,Updating patch synch'ed with trunk.
788,0,yes go ahead.
789,0,Never mind figured it out will be committing patch in the next few days.
